course_id,course_name,department_id,credits
1,Course1,3,4
2,Course2,2,2
3,Course3,1,3
4,Course4,2,2
5,Course5,2,2
6,Course6,2,2
7,Course7,2,4
8,Course8,2,4
9,Course9,1,3
10,Course10,3,3
11,Course11,2,2
12,Course12,3,4
13,Course13,1,4
14,Course14,3,2
15,Course15,4,2
16,Course16,4,2
17,Course17,4,2
18,Course18,1,3
19,Course19,1,3
20,Course20,4,2
21,Course21,1,4
22,Course22,2,2
23,Course23,4,2
24,Course24,4,3
25,Course25,2,3
26,Course26,2,4
27,Course27,4,4
28,Course28,4,4
29,Course29,2,3
30,Course30,3,4
31,Course31,1,2
32,Course32,4,4
33,Course33,3,3
34,Course34,1,3
35,Course35,4,2
36,Course36,1,4
37,Course37,3,2
38,Course38,4,4
39,Course39,2,2
40,Course40,1,4
41,Course41,2,3
42,Course42,4,3
43,Course43,4,3
44,Course44,3,2
45,Course45,3,4
46,Course46,3,3
47,Course47,2,4
48,Course48,2,3
49,Course49,4,2
50,Course50,3,2
51,Course51,2,3
52,Course52,1,3
53,Course53,3,3
54,Course54,1,4
55,Course55,2,4
56,Course56,3,2
57,Course57,4,4
58,Course58,1,4
59,Course59,2,4
60,Course60,3,2
61,Course61,3,3
62,Course62,1,2
63,Course63,2,2
64,Course64,1,4
65,Course65,3,3
66,Course66,4,2
67,Course67,3,2
68,Course68,1,3
69,Course69,1,4
70,Course70,3,2
71,Course71,4,4
72,Course72,3,3
73,Course73,2,4
74,Course74,1,2
75,Course75,4,3
76,Course76,3,2
77,Course77,3,3
78,Course78,1,3
79,Course79,1,4
80,Course80,4,2
81,Course81,1,3
82,Course82,2,4
83,Course83,2,2
84,Course84,4,2
85,Course85,3,3
86,Course86,4,4
87,Course87,4,3
88,Course88,3,2
89,Course89,1,3
90,Course90,3,4
91,Course91,4,2
92,Course92,3,3
93,Course93,4,3
94,Course94,3,2
95,Course95,4,3
96,Course96,3,4
97,Course97,3,2
98,Course98,2,3
99,Course99,3,2
100,Course100,2,3
101,Course101,1,3
102,Course102,2,3
103,Course103,1,3
104,Course104,4,3
105,Course105,1,3
106,Course106,3,2
107,Course107,3,3
108,Course108,3,2
109,Course109,4,4
110,Course110,4,3
111,Course111,2,2
112,Course112,2,3
113,Course113,4,3
114,Course114,2,4
115,Course115,3,3
116,Course116,3,4
117,Course117,4,2
118,Course118,2,4
119,Course119,2,4
120,Course120,4,2
121,Course121,3,4
122,Course122,4,3
123,Course123,3,4
124,Course124,4,2
125,Course125,4,2
126,Course126,2,3
127,Course127,3,3
128,Course128,4,4
129,Course129,4,2
130,Course130,4,2
131,Course131,4,4
132,Course132,1,4
133,Course133,4,4
134,Course134,1,2
135,Course135,1,4
136,Course136,1,2
137,Course137,1,4
138,Course138,2,3
139,Course139,4,2
140,Course140,2,4
141,Course141,1,3
142,Course142,1,4
143,Course143,3,2
144,Course144,2,4
145,Course145,3,4
146,Course146,4,2
147,Course147,3,4
148,Course148,1,3
149,Course149,2,4
150,Course150,3,3
151,Course151,2,4
152,Course152,4,3
153,Course153,3,3
154,Course154,4,3
155,Course155,4,4
156,Course156,4,4
157,Course157,2,4
158,Course158,3,4
159,Course159,4,3
160,Course160,1,2
161,Course161,1,2
162,Course162,2,2
163,Course163,3,4
164,Course164,3,2
165,Course165,3,3
166,Course166,4,2
167,Course167,3,2
168,Course168,2,4
169,Course169,2,2
170,Course170,4,4
171,Course171,1,3
172,Course172,3,3
173,Course173,3,4
174,Course174,1,4
175,Course175,1,4
176,Course176,2,2
177,Course177,1,4
178,Course178,3,4
179,Course179,1,4
180,Course180,4,2
181,Course181,1,4
182,Course182,4,4
183,Course183,2,3
184,Course184,4,4
185,Course185,2,4
186,Course186,4,4
187,Course187,3,2
188,Course188,4,4
189,Course189,1,2
190,Course190,1,3
191,Course191,2,3
192,Course192,3,2
193,Course193,4,4
194,Course194,1,4
195,Course195,3,2
196,Course196,4,2
197,Course197,2,3
198,Course198,3,2
199,Course199,2,2
200,Course200,2,2
201,Course201,2,3
202,Course202,1,3
203,Course203,3,4
204,Course204,1,2
205,Course205,1,2
206,Course206,1,3
207,Course207,2,3
208,Course208,3,4
209,Course209,4,2
210,Course210,3,3
211,Course211,4,3
212,Course212,2,2
213,Course213,4,2
214,Course214,1,2
215,Course215,4,3
216,Course216,3,2
217,Course217,3,3
218,Course218,3,2
219,Course219,1,4
220,Course220,3,4
221,Course221,4,3
