enrollment_id,student_id,course_id,enrollment_date,grade
1,5771,2841,2023-04-15,B
2,9031,7328,2023-01-08,B
3,78,3163,2023-06-02,B
4,5281,1193,2023-12-18,B
5,4762,2735,2023-01-14,B
6,5491,1265,2022-12-28,B
7,7691,2111,2023-03-24,A
8,2939,1465,2023-02-15,B
9,5175,1455,2023-10-20,A
10,6676,221,2023-11-13,A
11,436,7975,2023-02-13,B
12,8804,7320,2023-12-16,B
13,4352,4809,2023-11-17,A
14,9547,6233,2023-09-21,A
15,2004,8276,2023-06-10,A
16,3919,3584,2023-05-12,A
17,1793,8797,2023-02-11,B
18,7412,7118,2023-08-22,B
19,6999,8759,2023-09-11,B
20,170,7709,2023-03-04,B
21,1172,4688,2022-12-25,B
22,8005,3358,2023-09-12,A
23,663,1923,2023-03-19,A
24,8893,7403,2023-12-10,B
25,6363,3392,2023-03-10,B
26,2209,3559,2023-11-10,B
27,2248,5794,2023-10-02,A
28,2051,9019,2023-01-30,B
29,1380,3981,2023-05-26,B
30,7086,4802,2023-09-13,B
31,8503,4461,2023-04-18,A
32,2586,1146,2023-03-07,B
33,8151,1518,2023-08-30,A
34,6253,7865,2023-12-02,B
35,4466,4631,2022-12-31,A
36,5150,1101,2023-12-21,B
37,4688,2529,2023-02-12,B
38,835,8228,2023-02-10,B
39,6564,7336,2023-04-11,A
40,3700,9700,2023-03-27,B
41,7304,2814,2023-10-05,A
42,5273,9317,2023-11-25,B
43,7020,7515,2023-04-29,A
44,571,2787,2023-10-02,A
45,7065,7084,2023-07-21,B
46,6756,4113,2023-12-12,B
47,4851,6807,2023-01-10,B
48,6465,1379,2023-03-24,A
49,4340,1594,2023-06-25,B
50,4930,4786,2023-01-23,A
51,9307,2495,2023-07-09,B
52,2797,8107,2023-10-05,B
53,5497,8333,2023-06-17,A
54,8816,1478,2023-11-18,A
55,8543,1892,2023-08-05,A
56,5924,9165,2023-03-04,A
57,9721,274,2023-10-03,A
58,4401,1395,2023-08-07,A
59,2041,6192,2023-06-29,B
60,3509,734,2023-08-30,A
61,8130,115,2023-05-11,A
62,4321,9880,2023-05-02,A
63,3386,9314,2023-05-03,A
64,1330,4311,2023-03-21,A
65,1720,3953,2023-07-07,A
66,2011,6557,2023-04-20,A
67,195,8702,2023-09-07,B
68,3803,3467,2023-05-20,B
69,8419,4373,2023-04-25,B
70,9707,8822,2023-06-23,B
71,7425,1687,2023-05-12,B
72,229,3917,2023-02-01,A
73,6964,6627,2023-10-02,A
74,9956,5766,2023-01-29,B
75,705,966,2023-09-14,A
76,5259,4250,2023-06-06,A
77,6608,9227,2023-05-06,A
78,421,493,2023-11-09,A
79,9025,1549,2023-11-28,B
80,1448,1168,2023-10-29,A
81,5426,5178,2023-01-06,A
82,3770,1289,2023-06-18,A
83,3574,2488,2023-10-21,A
84,415,8740,2023-09-24,B
85,2839,6079,2023-10-15,A
86,128,7183,2023-06-04,B
87,3904,1224,2023-07-15,B
88,8623,8007,2023-07-24,B
89,1460,6932,2023-12-12,A
90,2135,8894,2023-03-03,A
91,4008,9117,2023-08-15,A
92,1577,6528,2023-03-09,B
93,6110,643,2023-06-27,A
94,7783,1455,2023-08-01,B
95,4575,7059,2023-10-26,B
96,8673,3332,2023-11-29,A
